2025-11-28 16:10:00,754 - INFO - Starting the embedding process...
2025-11-28 16:10:00,754 - INFO - Using device: cpu
2025-11-28 16:10:00,849 - INFO - Loaded 68876 sequences from data/train/human_full.fasta
2025-11-28 16:10:00,849 - INFO - Loading model: Rostlab/prot_t5_xl_half_uniref50-enc
2025-11-28 16:10:02,143 - INFO - Casting model to full precision for CPU...
2025-11-28 16:10:02,426 - INFO - Total sequences: 68876
2025-11-28 16:10:02,446 - INFO - Average sequence length: 442.2514954410825
2025-11-28 16:10:02,446 - INFO - Number of sequences > 1000: 6087
2025-11-28 16:10:02,592 - INFO - Processed sequence ID: index-62665, Length: 21
2025-11-28 16:10:02,682 - INFO - Processed sequence ID: index-65612, Length: 21
2025-11-28 16:10:02,768 - INFO - Processed sequence ID: index-65882, Length: 21
2025-11-28 16:10:02,855 - INFO - Processed sequence ID: index-26568, Length: 22
2025-11-28 16:10:02,942 - INFO - Processed sequence ID: index-27257, Length: 22
2025-11-28 16:10:03,032 - INFO - Processed sequence ID: index-33976, Length: 22
2025-11-28 16:10:03,118 - INFO - Processed sequence ID: index-35394, Length: 22
2025-11-28 16:10:03,206 - INFO - Processed sequence ID: index-35775, Length: 22
2025-11-28 16:10:03,298 - INFO - Processed sequence ID: index-36700, Length: 22
2025-11-28 16:10:03,385 - INFO - Processed sequence ID: index-37729, Length: 22
2025-11-28 16:10:03,484 - INFO - Processed sequence ID: index-40119, Length: 22
2025-11-28 16:10:03,593 - INFO - Processed sequence ID: index-40234, Length: 22
2025-11-28 16:10:03,701 - INFO - Processed sequence ID: index-42141, Length: 22
2025-11-28 16:10:03,809 - INFO - Processed sequence ID: index-42528, Length: 22
2025-11-28 16:10:03,917 - INFO - Processed sequence ID: index-44965, Length: 22
2025-11-28 16:10:04,028 - INFO - Processed sequence ID: index-45353, Length: 22
2025-11-28 16:10:04,136 - INFO - Processed sequence ID: index-46500, Length: 22
2025-11-28 16:10:04,245 - INFO - Processed sequence ID: index-47548, Length: 22
2025-11-28 16:10:04,354 - INFO - Processed sequence ID: index-47690, Length: 22
2025-11-28 16:10:04,441 - INFO - Processed sequence ID: index-49954, Length: 22
2025-11-28 16:10:04,529 - INFO - Processed sequence ID: index-51093, Length: 22
2025-11-28 16:10:04,617 - INFO - Processed sequence ID: index-51176, Length: 22
2025-11-28 16:10:04,706 - INFO - Processed sequence ID: index-51486, Length: 22
2025-11-28 16:10:04,795 - INFO - Processed sequence ID: index-51699, Length: 22
2025-11-28 16:10:04,883 - INFO - Processed sequence ID: index-51909, Length: 22
2025-11-28 16:10:04,972 - INFO - Processed sequence ID: index-52342, Length: 22
2025-11-28 16:10:05,062 - INFO - Processed sequence ID: index-52432, Length: 22
2025-11-28 16:10:05,151 - INFO - Processed sequence ID: index-52879, Length: 22
2025-11-28 16:10:05,245 - INFO - Processed sequence ID: index-54075, Length: 22
2025-11-28 16:10:05,350 - INFO - Processed sequence ID: index-54723, Length: 22
2025-11-28 16:10:05,444 - INFO - Processed sequence ID: index-55039, Length: 22
2025-11-28 16:10:05,531 - INFO - Processed sequence ID: index-55890, Length: 22
2025-11-28 16:10:05,617 - INFO - Processed sequence ID: index-56837, Length: 22
2025-11-28 16:10:05,703 - INFO - Processed sequence ID: index-57087, Length: 22
2025-11-28 16:10:05,790 - INFO - Processed sequence ID: index-57138, Length: 22
2025-11-28 16:10:05,876 - INFO - Processed sequence ID: index-57171, Length: 22
2025-11-28 16:10:05,964 - INFO - Processed sequence ID: index-57589, Length: 22
2025-11-28 16:10:06,050 - INFO - Processed sequence ID: index-57888, Length: 22
2025-11-28 16:10:06,137 - INFO - Processed sequence ID: index-58225, Length: 22
2025-11-28 16:10:06,223 - INFO - Processed sequence ID: index-59726, Length: 22
2025-11-28 16:10:06,340 - INFO - Processed sequence ID: index-61049, Length: 22
2025-11-28 16:10:06,427 - INFO - Processed sequence ID: index-62422, Length: 22
2025-11-28 16:10:06,513 - INFO - Processed sequence ID: index-63615, Length: 22
2025-11-28 16:10:06,599 - INFO - Processed sequence ID: index-67813, Length: 22
2025-11-28 16:10:06,687 - INFO - Processed sequence ID: index-25480, Length: 23
2025-11-28 16:10:06,774 - INFO - Processed sequence ID: index-26142, Length: 23
2025-11-28 16:10:06,861 - INFO - Processed sequence ID: index-26684, Length: 23
2025-11-28 16:10:06,948 - INFO - Processed sequence ID: index-27132, Length: 23
2025-11-28 16:10:07,036 - INFO - Processed sequence ID: index-29251, Length: 23
2025-11-28 16:10:07,123 - INFO - Processed sequence ID: index-29933, Length: 23
2025-11-28 16:10:07,213 - INFO - Processed sequence ID: index-30029, Length: 23
2025-11-28 16:10:07,336 - INFO - Processed sequence ID: index-30785, Length: 23
2025-11-28 16:10:07,454 - INFO - Processed sequence ID: index-33002, Length: 23
2025-11-28 16:10:07,575 - INFO - Processed sequence ID: index-34398, Length: 23
2025-11-28 16:10:07,692 - INFO - Processed sequence ID: index-36642, Length: 23
2025-11-28 16:10:07,802 - INFO - Processed sequence ID: index-38719, Length: 23
2025-11-28 16:10:07,912 - INFO - Processed sequence ID: index-40072, Length: 23
2025-11-28 16:10:08,022 - INFO - Processed sequence ID: index-40217, Length: 23
2025-11-28 16:10:08,132 - INFO - Processed sequence ID: index-40434, Length: 23
2025-11-28 16:10:08,250 - INFO - Processed sequence ID: index-41921, Length: 23
2025-11-28 16:10:08,387 - INFO - Processed sequence ID: index-42543, Length: 23
2025-11-28 16:10:08,475 - INFO - Processed sequence ID: index-43859, Length: 23
2025-11-28 16:10:08,561 - INFO - Processed sequence ID: index-44201, Length: 23
2025-11-28 16:10:08,647 - INFO - Processed sequence ID: index-44732, Length: 23
2025-11-28 16:10:08,734 - INFO - Processed sequence ID: index-44784, Length: 23
2025-11-28 16:10:08,820 - INFO - Processed sequence ID: index-45961, Length: 23
2025-11-28 16:10:08,907 - INFO - Processed sequence ID: index-48397, Length: 23
2025-11-28 16:10:08,993 - INFO - Processed sequence ID: index-50580, Length: 23
2025-11-28 16:10:09,080 - INFO - Processed sequence ID: index-51259, Length: 23
2025-11-28 16:10:09,166 - INFO - Processed sequence ID: index-53239, Length: 23
2025-11-28 16:10:09,259 - INFO - Processed sequence ID: index-55892, Length: 23
2025-11-28 16:10:09,375 - INFO - Processed sequence ID: index-58193, Length: 23
2025-11-28 16:10:09,482 - INFO - Processed sequence ID: index-58615, Length: 23
2025-11-28 16:10:09,588 - INFO - Processed sequence ID: index-59050, Length: 23
2025-11-28 16:10:09,696 - INFO - Processed sequence ID: index-59186, Length: 23
2025-11-28 16:10:09,786 - INFO - Processed sequence ID: index-59743, Length: 23
2025-11-28 16:10:09,872 - INFO - Processed sequence ID: index-59784, Length: 23
2025-11-28 16:10:09,959 - INFO - Processed sequence ID: index-60025, Length: 23
2025-11-28 16:10:10,046 - INFO - Processed sequence ID: index-60485, Length: 23
2025-11-28 16:10:10,134 - INFO - Processed sequence ID: index-62062, Length: 23
2025-11-28 16:10:10,222 - INFO - Processed sequence ID: index-62246, Length: 23
2025-11-28 16:10:10,346 - INFO - Processed sequence ID: index-67009, Length: 23
2025-11-28 16:10:10,457 - INFO - Processed sequence ID: index-23525, Length: 24
2025-11-28 16:10:10,569 - INFO - Processed sequence ID: index-24396, Length: 24
2025-11-28 16:10:10,682 - INFO - Processed sequence ID: index-27386, Length: 24
2025-11-28 16:10:10,795 - INFO - Processed sequence ID: index-28419, Length: 24
2025-11-28 16:10:10,912 - INFO - Processed sequence ID: index-29756, Length: 24
