2025-11-28 16:38:45,221 - INFO - Starting the embedding process...
2025-11-28 16:38:45,222 - INFO - Using device: cpu
2025-11-28 16:38:45,316 - INFO - Loaded 68876 sequences from data/train/human_full.fasta
2025-11-28 16:38:45,316 - INFO - Loading model: Rostlab/prot_t5_xl_half_uniref50-enc
2025-11-28 16:38:47,466 - INFO - Casting model to full precision for CPU...
2025-11-28 16:38:47,971 - INFO - Total sequences: 68876
2025-11-28 16:38:47,993 - INFO - Average sequence length: 442.2514954410825
2025-11-28 16:38:47,996 - INFO - Number of sequences > 1000: 6087
2025-11-28 16:38:48,605 - INFO - Processed sequence ID: index-43409, Length: 2
2025-11-28 16:38:48,658 - INFO - Processed sequence ID: index-45650, Length: 2
2025-11-28 16:38:48,711 - INFO - Processed sequence ID: index-65812, Length: 2
2025-11-28 16:38:48,769 - INFO - Processed sequence ID: index-35240, Length: 3
2025-11-28 16:38:48,826 - INFO - Processed sequence ID: index-35645, Length: 3
2025-11-28 16:38:48,886 - INFO - Processed sequence ID: index-42396, Length: 3
2025-11-28 16:38:48,943 - INFO - Processed sequence ID: index-43301, Length: 3
2025-11-28 16:38:49,002 - INFO - Processed sequence ID: index-45277, Length: 3
2025-11-28 16:38:49,059 - INFO - Processed sequence ID: index-48011, Length: 3
2025-11-28 16:38:49,119 - INFO - Processed sequence ID: index-54999, Length: 3
2025-11-28 16:38:49,178 - INFO - Processed sequence ID: index-28119, Length: 4
2025-11-28 16:38:49,238 - INFO - Processed sequence ID: index-35887, Length: 4
2025-11-28 16:38:49,297 - INFO - Processed sequence ID: index-40266, Length: 4
2025-11-28 16:38:49,355 - INFO - Processed sequence ID: index-50205, Length: 4
2025-11-28 16:38:49,414 - INFO - Processed sequence ID: index-51392, Length: 4
2025-11-28 16:38:49,473 - INFO - Processed sequence ID: index-52958, Length: 4
2025-11-28 16:38:49,536 - INFO - Processed sequence ID: index-55716, Length: 4
2025-11-28 16:38:49,601 - INFO - Processed sequence ID: index-62562, Length: 4
2025-11-28 16:38:49,665 - INFO - Processed sequence ID: index-63743, Length: 4
2025-11-28 16:38:49,730 - INFO - Processed sequence ID: index-28305, Length: 5
2025-11-28 16:38:49,795 - INFO - Processed sequence ID: index-29446, Length: 5
2025-11-28 16:38:49,859 - INFO - Processed sequence ID: index-33857, Length: 5
2025-11-28 16:38:49,923 - INFO - Processed sequence ID: index-34488, Length: 5
2025-11-28 16:38:49,983 - INFO - Processed sequence ID: index-36547, Length: 5
2025-11-28 16:38:50,062 - INFO - Processed sequence ID: index-37242, Length: 5
2025-11-28 16:38:50,145 - INFO - Processed sequence ID: index-39074, Length: 5
2025-11-28 16:38:50,206 - INFO - Processed sequence ID: index-39114, Length: 5
2025-11-28 16:38:50,289 - INFO - Processed sequence ID: index-39786, Length: 5
2025-11-28 16:38:50,349 - INFO - Processed sequence ID: index-40296, Length: 5
2025-11-28 16:38:50,437 - INFO - Processed sequence ID: index-41346, Length: 5
2025-11-28 16:38:50,521 - INFO - Processed sequence ID: index-45201, Length: 5
2025-11-28 16:38:50,581 - INFO - Processed sequence ID: index-49374, Length: 5
2025-11-28 16:38:50,664 - INFO - Processed sequence ID: index-49391, Length: 5
2025-11-28 16:38:50,727 - INFO - Processed sequence ID: index-53053, Length: 5
2025-11-28 16:38:50,811 - INFO - Processed sequence ID: index-55537, Length: 5
2025-11-28 16:38:50,871 - INFO - Processed sequence ID: index-56987, Length: 5
2025-11-28 16:38:50,965 - INFO - Processed sequence ID: index-30842, Length: 6
2025-11-28 16:38:51,043 - INFO - Processed sequence ID: index-32032, Length: 6
2025-11-28 16:38:51,131 - INFO - Processed sequence ID: index-36288, Length: 6
2025-11-28 16:38:51,228 - INFO - Processed sequence ID: index-37723, Length: 6
2025-11-28 16:38:51,305 - INFO - Processed sequence ID: index-39245, Length: 6
2025-11-28 16:38:51,392 - INFO - Processed sequence ID: index-41150, Length: 6
2025-11-28 16:38:51,466 - INFO - Processed sequence ID: index-41576, Length: 6
2025-11-28 16:38:51,545 - INFO - Processed sequence ID: index-42650, Length: 6
2025-11-28 16:38:51,622 - INFO - Processed sequence ID: index-45710, Length: 6
2025-11-28 16:38:51,706 - INFO - Processed sequence ID: index-47733, Length: 6
2025-11-28 16:38:51,776 - INFO - Processed sequence ID: index-48616, Length: 6
2025-11-28 16:38:51,839 - INFO - Processed sequence ID: index-50157, Length: 6
2025-11-28 16:38:51,903 - INFO - Processed sequence ID: index-52938, Length: 6
2025-11-28 16:38:51,966 - INFO - Processed sequence ID: index-54580, Length: 6
2025-11-28 16:38:52,029 - INFO - Processed sequence ID: index-54625, Length: 6
2025-11-28 16:38:52,093 - INFO - Processed sequence ID: index-55070, Length: 6
2025-11-28 16:38:52,156 - INFO - Processed sequence ID: index-57775, Length: 6
2025-11-28 16:38:52,219 - INFO - Processed sequence ID: index-66092, Length: 6
2025-11-28 16:38:52,284 - INFO - Processed sequence ID: index-25607, Length: 7
2025-11-28 16:38:52,373 - INFO - Processed sequence ID: index-34584, Length: 7
2025-11-28 16:38:52,437 - INFO - Processed sequence ID: index-40230, Length: 7
2025-11-28 16:38:52,502 - INFO - Processed sequence ID: index-43429, Length: 7
2025-11-28 16:38:52,566 - INFO - Processed sequence ID: index-46002, Length: 7
2025-11-28 16:38:52,630 - INFO - Processed sequence ID: index-49654, Length: 7
2025-11-28 16:38:52,700 - INFO - Processed sequence ID: index-54136, Length: 7
2025-11-28 16:38:52,774 - INFO - Processed sequence ID: index-60949, Length: 7
2025-11-28 16:38:52,840 - INFO - Processed sequence ID: index-26680, Length: 8
2025-11-28 16:38:52,905 - INFO - Processed sequence ID: index-31883, Length: 8
2025-11-28 16:38:52,970 - INFO - Processed sequence ID: index-33599, Length: 8
2025-11-28 16:38:53,035 - INFO - Processed sequence ID: index-36454, Length: 8
2025-11-28 16:38:53,100 - INFO - Processed sequence ID: index-38216, Length: 8
2025-11-28 16:38:53,164 - INFO - Processed sequence ID: index-38533, Length: 8
2025-11-28 16:38:53,229 - INFO - Processed sequence ID: index-38625, Length: 8
2025-11-28 16:38:53,301 - INFO - Processed sequence ID: index-38699, Length: 8
2025-11-28 16:38:53,385 - INFO - Processed sequence ID: index-42480, Length: 8
2025-11-28 16:38:53,450 - INFO - Processed sequence ID: index-42489, Length: 8
2025-11-28 16:38:53,515 - INFO - Processed sequence ID: index-43337, Length: 8
2025-11-28 16:38:53,580 - INFO - Processed sequence ID: index-43453, Length: 8
2025-11-28 16:38:53,645 - INFO - Processed sequence ID: index-44662, Length: 8
2025-11-28 16:38:53,710 - INFO - Processed sequence ID: index-45466, Length: 8
2025-11-28 16:38:53,775 - INFO - Processed sequence ID: index-49221, Length: 8
2025-11-28 16:38:53,840 - INFO - Processed sequence ID: index-54738, Length: 8
