2025-11-28 14:56:11,173 - INFO - Starting the embedding process...
2025-11-28 14:56:11,173 - INFO - Using device: cpu
2025-11-28 14:56:11,268 - INFO - Loaded 68876 sequences from data/train/human_full.fasta
2025-11-28 14:56:11,268 - INFO - Loading model: Rostlab/prot_t5_xl_half_uniref50-enc
2025-11-28 14:56:12,810 - INFO - Casting model to full precision for CPU...
2025-11-28 14:56:13,179 - INFO - Total sequences: 68876
2025-11-28 14:56:13,201 - INFO - Average sequence length: 442.2514954410825
2025-11-28 14:56:13,201 - INFO - Number of sequences > 1000: 6087
2025-11-28 14:56:21,214 - INFO - Processed sequence ID: index-43337, Length: 8
2025-11-28 14:56:21,299 - INFO - Processed sequence ID: index-43453, Length: 8
2025-11-28 14:56:21,385 - INFO - Processed sequence ID: index-44662, Length: 8
2025-11-28 14:56:21,470 - INFO - Processed sequence ID: index-45466, Length: 8
2025-11-28 14:56:21,555 - INFO - Processed sequence ID: index-49221, Length: 8
2025-11-28 14:56:21,644 - INFO - Processed sequence ID: index-54738, Length: 8
2025-11-28 14:56:21,737 - INFO - Processed sequence ID: index-59127, Length: 8
2025-11-28 14:56:21,822 - INFO - Processed sequence ID: index-59155, Length: 8
2025-11-28 14:56:21,908 - INFO - Processed sequence ID: index-61210, Length: 8
2025-11-28 14:56:21,994 - INFO - Processed sequence ID: index-61740, Length: 8
2025-11-28 14:56:22,080 - INFO - Processed sequence ID: index-64488, Length: 8
2025-11-28 14:56:22,171 - INFO - Processed sequence ID: index-19514, Length: 9
2025-11-28 14:56:22,272 - INFO - Processed sequence ID: index-21859, Length: 9
2025-11-28 14:56:22,370 - INFO - Processed sequence ID: index-29360, Length: 9
2025-11-28 14:56:22,461 - INFO - Processed sequence ID: index-29880, Length: 9
2025-11-28 14:56:22,555 - INFO - Processed sequence ID: index-30632, Length: 9
2025-11-28 14:56:22,664 - INFO - Processed sequence ID: index-31404, Length: 9
2025-11-28 14:56:22,761 - INFO - Processed sequence ID: index-33937, Length: 9
2025-11-28 14:56:22,862 - INFO - Processed sequence ID: index-34249, Length: 9
2025-11-28 14:56:22,965 - INFO - Processed sequence ID: index-35313, Length: 9
2025-11-28 14:56:23,067 - INFO - Processed sequence ID: index-38911, Length: 9
2025-11-28 14:56:23,169 - INFO - Processed sequence ID: index-40042, Length: 9
2025-11-28 14:56:23,262 - INFO - Processed sequence ID: index-42581, Length: 9
2025-11-28 14:56:23,357 - INFO - Processed sequence ID: index-45586, Length: 9
2025-11-28 14:56:23,458 - INFO - Processed sequence ID: index-51099, Length: 9
2025-11-28 14:56:23,560 - INFO - Processed sequence ID: index-51389, Length: 9
2025-11-28 14:56:23,661 - INFO - Processed sequence ID: index-52334, Length: 9
2025-11-28 14:56:23,753 - INFO - Processed sequence ID: index-54850, Length: 9
2025-11-28 14:56:23,854 - INFO - Processed sequence ID: index-55382, Length: 9
2025-11-28 14:56:23,954 - INFO - Processed sequence ID: index-55427, Length: 9
2025-11-28 14:56:24,048 - INFO - Processed sequence ID: index-56820, Length: 9
2025-11-28 14:56:24,138 - INFO - Processed sequence ID: index-60051, Length: 9
2025-11-28 14:56:24,236 - INFO - Processed sequence ID: index-61396, Length: 9
2025-11-28 14:56:24,329 - INFO - Processed sequence ID: index-62296, Length: 9
2025-11-28 14:56:24,414 - INFO - Processed sequence ID: index-63530, Length: 9
2025-11-28 14:56:24,499 - INFO - Processed sequence ID: index-25882, Length: 10
2025-11-28 14:56:24,584 - INFO - Processed sequence ID: index-26603, Length: 10
2025-11-28 14:56:24,669 - INFO - Processed sequence ID: index-27183, Length: 10
2025-11-28 14:56:24,753 - INFO - Processed sequence ID: index-28152, Length: 10
2025-11-28 14:56:24,838 - INFO - Processed sequence ID: index-31002, Length: 10
2025-11-28 14:56:24,923 - INFO - Processed sequence ID: index-33634, Length: 10
2025-11-28 14:56:25,008 - INFO - Processed sequence ID: index-35883, Length: 10
2025-11-28 14:56:25,092 - INFO - Processed sequence ID: index-37823, Length: 10
2025-11-28 14:56:25,177 - INFO - Processed sequence ID: index-38840, Length: 10
2025-11-28 14:56:25,261 - INFO - Processed sequence ID: index-39085, Length: 10
2025-11-28 14:56:25,346 - INFO - Processed sequence ID: index-39095, Length: 10
2025-11-28 14:56:25,430 - INFO - Processed sequence ID: index-39859, Length: 10
2025-11-28 14:56:25,520 - INFO - Processed sequence ID: index-40028, Length: 10
2025-11-28 14:56:25,614 - INFO - Processed sequence ID: index-40632, Length: 10
2025-11-28 14:56:25,698 - INFO - Processed sequence ID: index-41833, Length: 10
2025-11-28 14:56:25,782 - INFO - Processed sequence ID: index-43349, Length: 10
2025-11-28 14:56:25,867 - INFO - Processed sequence ID: index-43991, Length: 10
2025-11-28 14:56:25,951 - INFO - Processed sequence ID: index-47202, Length: 10
2025-11-28 14:56:26,035 - INFO - Processed sequence ID: index-48613, Length: 10
2025-11-28 14:56:26,120 - INFO - Processed sequence ID: index-49275, Length: 10
2025-11-28 14:56:26,205 - INFO - Processed sequence ID: index-49998, Length: 10
